label,youtube_id,time_start,time_end,split
cooking chicken,F0LsTjnmU-w,72,82,train
mopping floor,F0ZlNpBfAL4,52,62,train
washing dishes,F0fjA7aEnPo,66,76,train
mopping floor,F0pgIsTtv5Q,62,72,train
cooking chicken,F3PV85du8iI,0,10,train
washing hands,F6RKD-bAIXA,8,18,train
cleaning toilet,F6e6SnPddtI,54,64,train
folding clothes,F7oVHU9U4Sk,0,10,train
folding clothes,F9km2NqfQlQ,12,22,train
folding clothes,F9n0mYB5-9s,2,12,train
folding clothes,FA01HqqiEIE,12,22,train
washing dishes,FAzTOdo4sww,2,12,train
sweeping floor,FBBlYrv-YlE,102,112,train
washing dishes,FBuVFqpU0co,65,75,train
folding clothes,FC-QEyMGM3M,14,24,train
washing dishes,FC8JEyQCUVU,17,27,train
cooking chicken,FCgW-w1wow8,218,228,train
washing hands,FDDyLPi7rM0,3,13,train
making bed,FDgOTTVPnS0,529,539,train
washing dishes,FDhliDJsDEM,50,60,train
washing dishes,FG2WZVA-e2c,2,12,train
cooking chicken,FHPGYOVSskQ,101,111,train
folding clothes,FJGt43o36yU,4,14,train
sweeping floor,FKFnQhgA4gY,11,21,train
baking cookies,FLUUk1VOv3o,119,129,train
folding clothes,FLmyoK7kmOA,126,136,train
sweeping floor,FLwfdX1KJz0,2,12,train
mopping floor,FNeR1Pv10hE,50,60,train
washing hands,FRe93u5KZQE,97,107,train
making bed,FSDhXb1gk9M,43,53,train
baking cookies,FU8sFbdWk78,18,28,train
doing laundry,FUFT2rPXRok,13,23,train
making bed,FVJZt2hEXNY,168,178,train
baking cookies,FW3cnWsLijY,14,24,train
washing dishes,FYQtiyGNa5E,158,168,train
cleaning toilet,FZ3FrRHMQYs,8,18,train
washing dishes,FZWQ5HXJbII,12,22,train
washing dishes,FZsZF2hiGNk,49,59,train
cooking chicken,F_3YaZpSR4g,28,38,train
making bed,F_6Iwal0qeA,374,384,train
washing hands,F_jhH7dSq5k,102,112,train
making bed,Fa0U_W7Mi8k,104,114,train
cooking chicken,Fa0jBfRwGEc,99,109,train
cleaning toilet,FaPFtcPvRKk,131,141,train
doing laundry,FbJa8HLUy1o,178,188,train
folding clothes,FbJxNfK6ixo,14,24,train
washing dishes,FbiuB7XMBPo,4,14,train
cleaning toilet,FbuBz3XLIiw,135,145,train
washing hands,FcLG7pqhRhw,7,17,train
folding clothes,FdbS0DwuSiA,0,10,train
washing hands,FeDmoacaVTc,4,14,train
making bed,FegE9BQiSfI,6,16,train
making bed,FgFC_9HsU5Y,78,88,train
cleaning toilet,FhP2rcwiLkI,212,222,train
washing hands,Fhn9-nenRrA,50,60,train
baking cookies,FhpYkEng6ow,137,147,train
cooking chicken,FjPrZBpZuDw,119,129,train
cooking chicken,FjQSOMQ0dJk,273,283,train
baking cookies,Fji04iPHaqA,0,10,train
cooking chicken,Fji6ROggo5s,1453,1463,train
doing laundry,FjqmeRrMtl8,95,105,train
cooking chicken,Fm4HKuU4ox4,16,26,train
washing dishes,FmCefr-b3XI,216,226,train
washing hands,FmxE2CGV6jg,25,35,train
washing hands,FndGT6_4VXA,1,11,train
baking cookies,FreqqAT1YmU,339,349,train
mopping floor,FrlRBfzCJ9s,51,61,train
baking cookies,FtPUJt4Ar-M,207,217,train
cooking chicken,FtuO1n56uF0,128,138,train
washing dishes,FvnikVPzzZA,33,43,train
washing dishes,Fw946IgTqC4,7,17,train
baking cookies,FwWwc5JZs_g,627,637,train
cleaning toilet,FxXDFlMpm6U,0,10,train
baking cookies,Fy-Eu61fYL8,333,343,train
sweeping floor,Fytb5v0QxFs,1,11,train
cooking chicken,FzJ7MCz1CLU,166,176,train
washing dishes,G0q_7vsNZwc,2,12,train
baking cookies,G1DI3TSyhbQ,90,100,train
washing hands,G1OGtuGz1EQ,51,61,train
doing laundry,G2-oMhlY0-w,6,16,train
cooking chicken,G2JE_BEFVmE,63,73,train
folding clothes,G3Y8oRFWUpQ,33,43,train
washing hands,G406WAW1T44,3,13,train
cleaning toilet,G5CnJs1kA5o,397,407,train
washing dishes,G6GAlQiZE3E,4,14,train
mopping floor,G6OKpNxKwmw,39,49,train
making bed,G7XcELnvGUI,119,129,train
washing hands,G7Y-bZ14j_k,9,19,train
washing hands,GBNK1aMSwoE,30,40,train
washing hands,GF2uPMaBFOA,8,18,train
washing dishes,GFWR8e2ZFnY,136,146,train
making bed,GGgOJD_Wn-Y,2,12,train
washing dishes,GGpoGFypPs0,4,14,train
making bed,GJcR-o2aXdY,40,50,train
cooking chicken,GMENyNWUErc,152,162,train
folding clothes,GOUacD34lKI,16,26,train
cooking chicken,GP8VKNZ15-o,114,124,train
making bed,GPa9hLN57f8,504,514,train
baking cookies,GQbL07KKnJE,232,242,train
washing dishes,GR9-MEWHPLo,167,177,train
washing hands,GRPW6_UVwsw,207,217,train
washing dishes,GRsQKVgtpEk,64,74,train
cooking chicken,GSh-HTz3lA4,346,356,train
folding clothes,GSkLYGhzKm4,12,22,train
washing hands,GT0_DEQEe90,1,11,train
folding clothes,GUNm_5adGJU,71,81,train
sweeping floor,GUOYbUl9D5o,41,51,train
mopping floor,GUtO1JVtJMA,77,87,train
mopping floor,GVHy9Ir44AY,28,38,train
sweeping floor,GVs4mWNTAuU,0,10,train
mopping floor,GWJw2jR2mTY,2,12,train
washing hands,GYAa73HvHw8,2,12,train
cooking chicken,G_R2oYDpsK0,193,203,train
mopping floor,G_i4PrVkyp0,17,27,train
washing hands,GacjGW9ke1o,29,39,train
cleaning toilet,GcGt3O0b0H0,4,14,train
making bed,Gc_8WH4b8UY,447,457,train
doing laundry,Gcz097FJs0I,81,91,train
sweeping floor,GdMClFg4CMY,24,34,train
baking cookies,GdfnFKyDwCA,98,108,train
sweeping floor,GdkR4ab4Mkc,1,11,train
baking cookies,GfQIkA9rxxs,75,85,train
making bed,GgjNtNnqS60,11,21,train
cooking chicken,Gk6duv-N9Mw,6,16,train
cooking chicken,GkQqy8C01Rw,17,27,train
cooking chicken,GkX7rVt-3Oo,299,309,train
mopping floor,GkYF81LWCgI,13,23,train
baking cookies,GlPhkeCdcVk,7,17,train
mopping floor,GlpGrZqx9jc,97,107,train
mopping floor,Go81A5RWI_M,23,33,train
washing dishes,GqTB01zeJCg,44,54,train
mopping floor,GtD3K9CZmX8,196,206,train
washing dishes,Gtks9qQX0oE,39,49,train
washing hands,Gubnt_17iS0,118,128,train
washing dishes,Gvc5p_yhKzw,15,25,train
washing hands,GwlyMceGF6M,4,14,train
folding clothes,Gx8O7tFHr3Q,4,14,train
sweeping floor,Gydds0F1lNM,27,37,train
mopping floor,Gyft6YwLRkg,20,30,train
washing dishes,H-xBOTFPjKQ,4,14,train
baking cookies,H0WPD-IVUs4,548,558,train
sweeping floor,H1XiQsvgiQc,11,21,train
doing laundry,H2-_upw6Mbs,73,83,train
cooking chicken,H32r8hsSr6k,16,26,train
folding clothes,H3uq_e2wo2s,60,70,train
washing dishes,H5wE79d274o,22,32,train
mopping floor,H8_fslokbHE,31,41,train
cooking chicken,H8mp-PSF_io,136,146,train
sweeping floor,H8zI9Y4hmOU,41,51,train
washing hands,H93cJDjXIvU,1,11,train
washing hands,H94db9uBYrE,23,33,train
folding clothes,HADHCxEbQPs,44,54,train
cleaning toilet,HB5efMeFIZY,101,111,train
making bed,HBaSu-zkDEI,1300,1310,train
washing dishes,HC2IsMbWjzA,5,15,train
baking cookies,HD-SibT2Kp8,107,117,train
washing hands,HDwv-Lsr5fo,164,174,train
folding clothes,HE52d3ziz_s,390,400,train
doing laundry,HGCgpEt6oaw,13,23,train
mopping floor,HHZzLrjSx9I,41,51,train
washing dishes,HImofR1rWj8,1,11,train
washing dishes,HLH7qizf91U,14,24,train
sweeping floor,HLpxRKNvgms,11,21,train
doing laundry,HLyDrZfInvw,68,78,train
doing laundry,HMEsj0K9b8A,3,13,train
baking cookies,HMO0Rxzqg9E,0,10,train
baking cookies,HQHF_DuB_4g,41,51,train
folding clothes,HQm8P3ora5I,0,10,train
folding clothes,HQr79TnfW_c,33,43,train
baking cookies,HRT1RtV0Hco,477,487,train
washing hands,HRpdPWk6UXM,4,14,train
doing laundry,HSI1Qv1BXqE,30,40,train
washing dishes,HT8lb6nv7NA,4,14,train
washing dishes,HT9LTxf_02g,37,47,train
baking cookies,HT_mWagsIFw,3,13,train
washing hands,HUpOlwwt0j0,4,14,train
cooking chicken,HVE-k2WcVng,33,43,train
washing hands,HVPzjKkK15k,92,102,train
sweeping floor,HWMeZOpfg8M,19,29,train
washing dishes,HXLkQdIkEZ4,0,10,train
baking cookies,HYX44gbtKxA,113,123,train
cleaning toilet,HZ_2DasKlP0,11,21,train
washing hands,HZu4gagXndM,91,101,train
cooking chicken,H_JFUatl5Tk,198,208,train
cooking chicken,H_QVECBVu4Y,727,737,train
mopping floor,Hat3L6Qc_8s,30,40,train
doing laundry,HbUk1d5rX0Q,18,28,train
washing hands,HdYthJ_b59E,1,11,train
folding clothes,He3EnrxYrWc,70,80,train
washing dishes,Hf699LHeO_o,10,20,train
washing hands,Hfnx--r05qE,88,98,train
cleaning toilet,Hg1RSxRUXhU,167,177,train
mopping floor,Hg4lr-YVkYw,1,11,train
washing hands,HgjMMp11oxs,45,55,train
sweeping floor,HhT4Jsr2dnE,1,11,train
baking cookies,Hhc10CrukfA,0,10,train
folding clothes,Hjb2LOGRm6g,35,45,train
doing laundry,Hjjkie3nfmE,65,75,train
sweeping floor,HkifSOErIZk,2,12,train
cooking chicken,Ho3Q4QlnqXw,59,69,train
mopping floor,HoKpuRdph_M,58,68,train
washing dishes,HooxDlW6tl0,152,162,train
making bed,HpvihfVvwGk,137,147,train
washing hands,HsyFOkeoowI,3,13,train
doing laundry,HtD942UGtJo,12,22,train
cooking chicken,HtUhFj4VsiY,139,149,train
baking cookies,HufjbSM4yXA,258,268,train
making bed,Hw-S3dUD99o,38,48,train
mopping floor,Hw6JFRoVV7M,129,139,train
cooking chicken,HwdBha-wKXA,110,120,train
washing hands,HwsRYCWm0oU,46,56,train
washing dishes,HwtMIz3bd80,39,49,train
washing hands,Hwx_8FhcqY4,74,84,train
folding clothes,Hz5_85ppG20,52,62,train
making bed,I-43Z0AB2Js,9,19,train
washing hands,I-5tkSV7AEw,29,39,train
sweeping floor,I0TTeGbaaw8,9,19,train
washing dishes,I1V11dutvYw,26,36,train
cooking chicken,I2FPytfUnPE,96,106,train
baking cookies,I2vq1LNJyI0,3,13,train
washing hands,I34WWn_09RY,87,97,train
sweeping floor,I4UQHOssXuU,41,51,train
cooking chicken,I4VLyZmHCXk,240,250,train
doing laundry,I4fjNHSnR1g,1,11,train
cooking chicken,I4q5POzT1ZA,200,210,train
baking cookies,I8buzuaLNmc,249,259,train
washing dishes,I8oYQrruTjI,15,25,train
washing hands,I9doVR2_0zU,199,209,train
cleaning toilet,IBk6WO6HHBc,11,21,train
washing hands,IDLf3OjOi6M,5,15,train
cleaning toilet,IFRLD8h1l4M,105,115,train
washing hands,IFY-vNMLcRQ,9,19,train
doing laundry,IFquEZNyfaM,137,147,train
cooking chicken,IFsYSZhf7xY,234,244,train
cooking chicken,IGM_QctKLWY,553,563,train
mopping floor,IGSzEUnMoHk,98,108,train
sweeping floor,IHYAfmJk7yY,52,62,train
mopping floor,IIDwCI3sD2s,86,96,train
cleaning toilet,IIXuCfkJd34,1,11,train
folding clothes,IJ8Oun-IuCI,62,72,train
mopping floor,IK9kE9IrcOM,35,45,train
washing dishes,ILsq5K0nSSQ,44,54,train
cleaning toilet,IMCJJsUZ6b0,128,138,train
folding clothes,INz6FvFgsKo,1,11,train
sweeping floor,IOC9SRBD4vg,13,23,train
cooking chicken,IP492LIRUC0,623,633,train
folding clothes,IQiXEixWomU,27,37,train
doing laundry,IQldhNA7CWE,1,11,train
washing hands,IQoWPwSEiFA,0,10,train
washing hands,IRx3TifvIJM,106,116,train
washing dishes,ISQDPHFqaz4,132,142,train
folding clothes,IVUj4OX8DAg,168,178,train
baking cookies,IVVHSHuKuCo,4,14,train
baking cookies,IW9QTb6KonA,203,213,train
mopping floor,IWJruSRUcDg,26,36,train
mopping floor,IXJDWPSz18I,55,65,train
cooking chicken,IXkUld3Hkx4,88,98,train
making bed,IYfzqUKGWFo,127,137,train
washing dishes,IZ3M_v7SJ_I,2,12,train
washing dishes,IZaNfpjjc7g,34,44,train
folding clothes,I__qL7UJXDs,40,50,train
making bed,I_nL-KkVdKY,706,716,train
folding clothes,I_zwQV0ajms,119,129,train
washing hands,IacgyMI5vzs,34,44,train
cooking chicken,IcvzVgcCMwU,743,753,train
cleaning toilet,Id6YiJPPBkc,1,11,train
mopping floor,IdG3UPXRtio,18,28,train
sweeping floor,IeJo0LAlMXg,32,42,train
mopping floor,IffItAP295A,122,132,train
cooking chicken,Ig6WjHtjeIA,10,20,train
washing hands,Ih-btxalAzo,163,173,train
folding clothes,IhjFSNcaMIQ,97,107,train
cooking chicken,Ihx0_E45rIE,110,120,train
cooking chicken,IienlAN6Hdo,1283,1293,train
washing dishes,Iik0TCKpsh0,7,17,train
washing dishes,IjS8xVhL1XE,93,103,train
cleaning toilet,IjhI70WW0yw,17,27,train
mopping floor,IkXuooaGnCc,143,153,train
washing hands,ImofeWZNdMA,1,11,train
sweeping floor,InFCHEBCeLE,42,52,train
washing hands,InvLcEXHS8g,31,41,train
cooking chicken,IozHH-e0YNc,35,45,train
mopping floor,Ip6S10d1oL4,34,44,train
washing hands,IpfgXctLow8,4,14,train
making bed,Ith8Lw-yeis,91,101,train
folding clothes,IuvhL0fBTOc,2,12,train
sweeping floor,Iv8Tgq5vwU4,0,10,train
washing hands,IwExyiI2Fqo,7,17,train
cleaning toilet,IwWvCS_7Iwo,19,29,train
cleaning toilet,Iwt8nourC5M,105,115,train
washing dishes,IyqyT6-McGA,24,34,train
making bed,IztcW1J_pUE,2,12,train
washing dishes,J0UF_caPGGw,25,35,train
cooking chicken,J0bIGSPRSXQ,136,146,train
folding clothes,J2E6FexAk74,181,191,train
washing dishes,J2JiwYnbYho,207,217,train
sweeping floor,J388ndUHqcw,6,16,train
washing dishes,J3dtINKwL9c,1,11,train
baking cookies,J3g4VEVdAgo,42,52,train
washing hands,J5uAnT7PWEc,33,43,train
washing hands,J67PzUcOfG0,65,75,train
sweeping floor,J6vYi3ENwt8,9,19,train
cleaning toilet,J7KWFE_vXzw,176,186,train
washing hands,J7hHPIQ_LOw,43,53,train
mopping floor,J7nivamh9lk,67,77,train
mopping floor,J98U-PGh1bQ,1,11,train
mopping floor,J9vevA5OCTA,242,252,train
making bed,JA3Ozc7aM3M,81,91,train
doing laundry,JACi9g6CO0I,201,211,train
washing dishes,JCR05_5ujv4,2,12,train
folding clothes,JD6yop1RoIY,414,424,train
baking cookies,JDW2suW2_-g,52,62,train
washing hands,JEPqvTVdqVc,51,61,train
mopping floor,JErW7ISPd0U,13,23,train
sweeping floor,JFGip4CE0nQ,4,14,train
washing dishes,JFQ-LIbbPYw,3,13,train
doing laundry,JHL8IDuTHJw,43,53,train
cooking chicken,JHu3jV_xmfY,465,475,train
cooking chicken,JI2i0m1r4Zk,741,751,train
cooking chicken,JIzMnley-xg,695,705,train
baking cookies,JLDmEU_Xvgw,529,539,train
washing hands,JLbDoMXZyeo,19,29,train
washing hands,JMNQGOhrnlI,2,12,train
folding clothes,JO8vrq4eMEI,54,64,train
baking cookies,JPQQE14eWdQ,191,201,train
cooking chicken,JPxscNDKlFM,58,68,train
sweeping floor,JR7E7-MGEH0,0,10,train
sweeping floor,JSPo65SpyfA,9,19,train
cooking chicken,JT2Xnp2Z67A,403,413,train
folding clothes,JTIwfmB-gyA,1,11,train
washing dishes,JVwIRP-mdFA,33,43,train
mopping floor,JW5P5FdOrcw,166,176,train
mopping floor,JYifEluLt7s,18,28,train
washing hands,JZ3UQyqQKBY,34,44,train
cooking chicken,JZPb1WFhgtw,18,28,train
baking cookies,JZS4XhaueNQ,191,201,train
baking cookies,JZprR5zGAfs,136,146,train
mopping floor,J_C81KMjMSY,66,76,train
sweeping floor,JaBKU2SDe4E,23,33,train
sweeping floor,JaOs5y6MTDU,183,193,train
folding clothes,Jcmf9XyBdMk,109,119,train
doing laundry,Jd0attNuTNc,18,28,train
cooking chicken,JfHXuFmNp4E,125,135,train
cooking chicken,JhMmsSeo9Qc,13,23,train
cleaning toilet,JiQDquoMBzg,27,37,train
baking cookies,JjaHwTy8sd8,12,22,train
washing dishes,Jku8JuGe7Dc,148,158,train
folding clothes,Jlg_BZDJqzw,31,41,train
cooking chicken,JlrLYQo60LM,226,236,train
making bed,JmF1Cz8CD0I,142,152,train
baking cookies,JnOyooHDeTM,36,46,train
making bed,Jo0hXIsDvlU,40,50,train
washing hands,JpbbjL2uYv4,2,12,train
washing dishes,JshRlaak7Nw,159,169,train
cooking chicken,Jthv7HJiYCw,173,183,train
washing dishes,JvJn3bsN37Q,7,17,train
washing dishes,Jwka84V_RVo,18,28,train
baking cookies,JxY_irMT-Qo,856,866,train
sweeping floor,JxgTuymDWjE,0,10,train
mopping floor,Jy-O6N7m7_w,3,13,train
making bed,JyjI5BQHUHk,319,329,train
sweeping floor,JytoIzs6jbg,36,46,train
sweeping floor,JzBJntkh_1M,1,11,train
doing laundry,Jz_2SlLAgLA,2,12,train
cooking chicken,Jzczmi1mPTs,23,33,train
sweeping floor,JzmQP4xfzFc,6,16,train
baking cookies,K0_R-0Xs_cM,200,210,train
baking cookies,K2VPLf1rGK0,65,75,train
washing dishes,K4jxB28HhwE,2,12,train
sweeping floor,K4ku64xt5eY,29,39,train
making bed,K5K_kF5u1-k,1,11,train
mopping floor,K6F2Y_48RWk,167,177,train
cooking chicken,K6o0lXS6s0o,242,252,train
washing dishes,K7AZ5_DQAyo,126,136,train
baking cookies,K9mo9zqx12s,99,109,train
washing dishes,K9rfnC1GHFM,58,68,train
folding clothes,KANpMNmR6X4,0,10,train
doing laundry,KB3vMorxQc8,4,14,train
making bed,KCZuUGXZESQ,31,41,train
cleaning toilet,KCyYiFijvi4,46,56,train
washing hands,KEU0BiPPHM4,1,11,train
making bed,KF1cXWJ382Y,245,255,train
washing hands,KFWyyvIKsSs,201,211,train
washing hands,KGdw6WbyTas,20,30,train
folding clothes,KGo3e6ihtqg,63,73,train
cooking chicken,KHEd4_8sv4U,172,182,train
cooking chicken,KHEd__Axddk,304,314,train
baking cookies,KH_pTBlFdWI,22,32,train
doing laundry,KJ5ooEgnpbU,154,164,train
cooking chicken,KKZkLzyeiTo,194,204,train
washing hands,KKb0OcbgJPA,0,10,train
baking cookies,KM3ntWHovQI,60,70,train
washing hands,KMfzsyMCIFw,3,13,train
cleaning toilet,KOLZDhpRnL4,57,67,train
cooking chicken,KP6ZKwbZrtY,119,129,train
baking cookies,KPu626MzQOo,368,378,train
washing dishes,KQiqS7h7TSE,134,144,train
baking cookies,KRTwXhIc60w,159,169,train
folding clothes,KTrDXKnQRTM,55,65,train
cleaning toilet,KVLLfzc6Oz8,30,40,train
washing hands,KVtpO_uMEG4,4,14,train
cooking chicken,KVxJEyKVngM,3,13,train
folding clothes,KW3K5GhubPE,13,23,train
washing dishes,KX0a211Z_TQ,65,75,train
baking cookies,KYzqxEUgCm8,412,422,train
doing laundry,KZ5XlKFo6Xk,10,20,train
washing dishes,K_gy4-6UKjw,215,225,train
making bed,KamBYuAA9Rs,0,10,train
washing dishes,KcHlo0d1HJU,0,10,train
cleaning toilet,KcV1Oc6E_Y8,227,237,train
baking cookies,KcW0wKCvrcU,58,68,train
washing hands,KfEzt2iN-fc,47,57,train
cleaning toilet,KfXb7GR2NFU,83,93,train
cooking chicken,KgKnbf13xtU,274,284,train
sweeping floor,KgYbQJTU80w,178,188,train
cooking chicken,KgmJrAGREEM,107,117,train
cleaning toilet,KhXlxl-twQo,137,147,train
folding clothes,KiZ6LTlUe1c,64,74,train
cooking chicken,KjQUGDZwVtw,545,555,train
mopping floor,Kl8nVL2qFmU,16,26,train
mopping floor,Kl9X07UGyu0,85,95,train
baking cookies,Klby8jwNOOQ,48,58,train
washing dishes,KoCjfxd302Q,44,54,train
washing dishes,KoLxlNTxXeM,25,35,train
washing hands,KqCA7fxOoTM,8,18,train
washing hands,KqgDjgbLYRo,21,31,train
washing hands,KrO6-JGsf8U,1,11,train
washing dishes,Ksm0HvFQZ_A,4,14,train
cooking chicken,KsvZcXaZYZk,74,84,train
cleaning toilet,Kv53PDlNE2Y,97,107,train
cooking chicken,KvZ9skc-5hE,8,18,train
folding clothes,KwqNV0grhhM,102,112,train
washing dishes,Kx6JN7cYzmY,72,82,train
washing dishes,KysVwdoCYG0,4,14,train
cooking chicken,KzF46HXHCOg,140,150,train
cooking chicken,KzcEjg1QqKo,3,13,train
making bed,L-WMuXr0fJo,33,43,train
mopping floor,L0ozD-dpPgc,3,13,train
cooking chicken,L1KdUX9tjD0,71,81,train
cooking chicken,L56uDOscVII,464,474,train
washing dishes,L5DgRa4PYH8,3,13,train
washing dishes,L80Ix_tlHKE,8,18,train
cooking chicken,L9B2b5ZHA-k,13,23,train
baking cookies,LAJNPB-sB_8,242,252,train
washing hands,LALyZrfFsgk,266,276,train
washing dishes,LA_i7i0vXY0,65,75,train
cooking chicken,LB7DnMc0EQ8,439,449,train
cooking chicken,LCe0HWpJgck,427,437,train
doing laundry,LDJ5n0NgZn0,110,120,train
washing dishes,LDy-oO60dhI,4,14,train
making bed,LEAj3GWq5V4,148,158,train
cleaning toilet,LElQDWxRJS8,83,93,train
sweeping floor,LGKInhwUV9c,121,131,train
sweeping floor,LGvOnr-m87s,29,39,train
cooking chicken,LGvpifYia-4,216,226,train
washing dishes,LKno-MGvX6c,393,403,train
baking cookies,LKzoGC1npcw,828,838,train
cooking chicken,LL5erwo_-98,766,776,train
cooking chicken,LLI_2b_YN5U,331,341,train
washing dishes,LM3V0hn_fSg,17,27,train
cleaning toilet,LM9xVCGZwP4,4,14,train
washing dishes,LMB7I7fQU8w,2,12,train
washing hands,LMGv3jQsPy4,34,44,train
cooking chicken,LMYU_AXndBg,109,119,train
baking cookies,LMvTKYBz-f8,4,14,train
cleaning toilet,LNRrt7ai5vM,55,65,train
cooking chicken,LPHI3M3unc4,379,389,train
making bed,LPOC9YluSYw,76,86,train
doing laundry,LPbczRSOGmI,150,160,train
cooking chicken,LPknDWM9-3Q,299,309,train
folding clothes,LQcxblFbloM,333,343,train
doing laundry,LQdB4g0b3-E,211,221,train
cleaning toilet,LRJmxN4y0_c,44,54,train
folding clothes,LRSApsUVcms,153,163,train
washing hands,LRjTtcri-Yo,35,45,train
washing hands,LRulLU0rJM4,38,48,train
cooking chicken,LSJrlUfc-hI,242,252,train
folding clothes,LSXKfSWmOi4,9,19,train
mopping floor,LSdKXBteaUg,30,40,train
folding clothes,LTeKcjObOMs,13,23,train
washing hands,LUcPpveaP-k,16,26,train
washing dishes,LUeIBaPq4e4,1,11,train
cleaning toilet,LVSP-AvX6E4,40,50,train
folding clothes,LXirr6aAaGg,28,38,train
folding clothes,LXj77uRLd9I,50,60,train
folding clothes,LYj8ObQFNLs,31,41,train
baking cookies,LZ8d_-VvVaY,74,84,train
cooking chicken,LaFpwiMEuUI,138,148,train
making bed,LbnqKFVAUUs,55,65,train
washing dishes,LcK6oOdTUio,207,217,train
making bed,LcS2lW5UlrU,28,38,train
washing hands,LcW5ucOmpxM,1,11,train
baking cookies,Lcy3Tguwa78,327,337,train
cooking chicken,LeKVDtSh52w,90,100,train
cooking chicken,LgHPgHb1LSU,183,193,train
making bed,Lg_0VqVt3RQ,74,84,train
making bed,LhbwfQHVSUE,187,197,train
washing hands,Li6VSSARS2A,4,14,train
baking cookies,LiD0o7kPK-8,256,266,train
washing hands,Lijtj1_5cwk,76,86,train
cooking chicken,LjXe1EKUrU8,4,14,train
washing hands,Lk1LigIMRh8,0,10,train
washing hands,LkzC7pOJmeo,5,15,train
washing dishes,LlM0mGzND7w,68,78,train
mopping floor,LnMvFpR0xCY,129,139,train
cooking chicken,LrOhfTvp0DQ,227,237,train
washing hands,LrXGhOZe5S8,0,10,train
sweeping floor,LrYAkHBaInY,21,31,train
doing laundry,LsgNxDunHEI,8,18,train
cooking chicken,Lsk6nWGhtfI,250,260,train
baking cookies,LssBSSbErJo,64,74,train
washing hands,Ltf8vgWMuUg,31,41,train
cooking chicken,LuMnXwpzbEU,503,513,train
sweeping floor,LuWKuLC4F6w,21,31,train
baking cookies,LwO-FM2bKso,823,833,train
cooking chicken,Lwz4UoiMTzY,154,164,train
baking cookies,LxqjGchCkS4,98,108,train
sweeping floor,Lyc3oF1ksEM,18,28,train
washing dishes,LyhAXELT4Bw,5,15,train
washing dishes,Lz43J3ognUw,175,185,train
cleaning toilet,M-wLHYgLoyk,140,150,train
doing laundry,M111H01A2QE,30,40,train
sweeping floor,M19knQz1saY,25,35,train
mopping floor,M1zeJ5nrnuo,28,38,train
baking cookies,M2xdggeRyPI,1,11,train
making bed,M49-lieD7Bo,374,384,train
washing dishes,M4pv-zOOjfA,15,25,train
cleaning toilet,M5BSyewN5K8,56,66,train
mopping floor,M5OPk77fQDE,67,77,train
cooking chicken,M8B-vB0TKKM,34,44,train
washing dishes,M8GobyZneVw,5,15,train
washing hands,M9VdgCFI-Lo,3,13,train
making bed,M9Wk_irW2vI,198,208,train
doing laundry,MAESaAT5D14,61,71,train
sweeping floor,MBcb6b1sr5o,72,82,train
baking cookies,MChmSYIpyGA,12,22,train
cooking chicken,MDvCkJfV-N4,221,231,train
cooking chicken,MEhX6kxl53U,304,314,train
cooking chicken,MGpIlEFl96Q,176,186,train
mopping floor,MGxoP1697IU,2,12,train
cooking chicken,MHUcl8lnP2o,136,146,train
washing hands,MHi6hKQCmDQ,44,54,train
washing dishes,MIVJokriqOA,38,48,train
mopping floor,MJJ_QYrdvVg,25,35,train
washing dishes,MKTvb99-dJE,113,123,train
baking cookies,MMwcpKL2H8U,2,12,train
cleaning toilet,MNqq8OCXOTk,10,20,train
cooking chicken,MOEqzdxICTw,18,28,train
washing dishes,MOdIHeD6ztQ,22,32,train
folding clothes,MPtAJIICLWo,53,63,train
baking cookies,MQGb2H3wtts,12,22,train
making bed,MRBA1fL_eAI,1,11,train
folding clothes,MRDiVJYisRc,7,17,train
baking cookies,MSof8_E_pxY,2,12,train
making bed,MUQ1FFW1jQU,54,64,train
washing dishes,MUyInT5elZQ,4,14,train
baking cookies,MV9pwHySowg,56,66,train
washing hands,MW4xaVSaDqU,23,33,train
cooking chicken,MWDPlUS7tnw,4,14,train
cooking chicken,MWQt0JY88ms,280,290,train
washing hands,MX2o61p-dPk,7,17,train
washing dishes,MXHo232Ojhc,40,50,train
sweeping floor,MXY37LvA-dk,13,23,train
washing hands,MXyYE_p9jE0,49,59,train
sweeping floor,MZI_rU7Afv0,4,14,train
cooking chicken,MZOUItAL7gA,181,191,train
washing dishes,MZkrJS9_gTI,168,178,train
baking cookies,M_lggP_-DrU,86,96,train
sweeping floor,M_tQY6Zezj4,2,12,train
washing dishes,Ma8K7apGhTk,73,83,train
washing dishes,MaU-thgtE0w,10,20,train
washing dishes,MeHcvrNJowQ,4,14,train
baking cookies,MewHDpWtOT8,16,26,train
mopping floor,MfUdgO6Crlw,1,11,train
mopping floor,MfsLzTcXiiY,3,13,train
baking cookies,MhF1KNuaJzA,22,32,train
washing hands,MhkjjGjmChQ,27,37,train
washing dishes,Mi8C-eQL-6g,12,22,train
washing hands,MjI1uUbHM_k,3,13,train
baking cookies,MjvKdMEWxwc,35,45,train
baking cookies,Mllzpt4DJZE,26,36,train
mopping floor,Mn80ydinbIE,20,30,train
sweeping floor,Mnezu_Ex7d4,28,38,train
doing laundry,MnzIB4O2zco,79,89,train
folding clothes,MpZWBnnaA7M,25,35,train
folding clothes,MqtE7DFwEDc,13,23,train
washing dishes,MrN2rtoXrnc,491,501,train
